metric,final_step,final_value,max_step,max_value
active_region_number,599,9.00000000,409,9.00000000
camera_region_entry_rate,599,0.92968750,421,0.96679688
camera_region_match_rate,599,1.00000000,0,1.00000000
center_success_radius_rate,599,0.00732422,47,0.39721680
mastered_region_count,599,9.00000000,428,9.00000000
mean_distance,599,0.06357028,0,0.16477746
mean_gripper_camera_direction_error,599,0.56418860,0,1.65309119
mean_plane_error,599,0.02753680,0,0.14056966
mean_reward,599,0.00000000,407,10709.30078125
mean_top_down_xy_error,599,0.05544399,8,0.09939207
near_center_7cm_rate,599,0.80786133,511,0.94213867
new_success_rate,599,0.00122070,46,0.00341797
region_01_batch_success_rate,599,0.00000000,42,0.10525611
region_01_mastered,599,1.00000000,35,1.00000000
region_01_success_count,599,15.00000000,38,15.00000000
region_02_batch_success_rate,599,0.00000000,46,0.36455840
region_02_mastered,599,1.00000000,40,1.00000000
region_02_success_count,599,35.00000000,44,35.00000000
region_03_batch_success_rate,599,0.00000000,53,0.29436922
region_03_mastered,599,1.00000000,45,1.00000000
region_03_success_count,599,53.00000000,56,53.00000000
region_04_batch_success_rate,599,0.00000000,90,0.04673803
region_04_mastered,599,1.00000000,86,1.00000000
region_04_success_count,599,5.00000000,86,5.00000000
region_05_batch_success_rate,599,0.00000000,113,0.03601619
region_05_mastered,599,1.00000000,110,1.00000000
region_05_success_count,599,5.00000000,110,5.00000000
region_06_batch_success_rate,599,0.00000000,140,0.11919643
region_06_mastered,599,1.00000000,130,1.00000000
region_06_success_count,599,22.00000000,140,22.00000000
region_07_batch_success_rate,599,0.00000000,382,0.00122455
region_07_mastered,599,1.00000000,383,1.00000000
region_07_success_count,599,5.00000000,383,5.00000000
region_08_batch_success_rate,599,0.00000000,406,0.00341797
region_08_mastered,599,1.00000000,409,1.00000000
region_08_success_count,599,8.00000000,411,8.00000000
region_09_batch_success_rate,599,0.00732422,589,0.02172852
region_09_mastered,599,1.00000000,428,1.00000000
region_09_success_count,599,576.75000000,599,576.75000000
success_hold_rate,599,0.32104492,548,0.53271484
success_rate,599,0.00732422,46,0.23706055
target_three_camera_visible_rate,599,0.12353516,62,0.86767578
top_down_phase_latched_rate,599,0.38208008,545,0.63330078
top_down_xy_success_radius_rate,599,0.02490234,47,0.52636719
